pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,13.0859375,14.94140625,23.33160664746452,126,8.250204506795853,18.96717606112361,142336
0,1,5,6,3,PenaltySolver,1.07421875,9.375,55.40377099103556,107,7.826951786875725,17.472005404066294,120832
0,2,5,6,3,PenaltySolver,0.390625,7.6171875,28.395724810613483,106,6.66657575732097,18.02482967590913,119808
0,3,5,6,3,PenaltySolver,8.0078125,10.64453125,60.66684190044858,118,7.396802929230034,18.96095225866884,133120
0,4,5,6,3,PenaltySolver,7.51953125,26.46484375,23.829223622883656,114,8.216203161049634,18.0134267359972,129024
0,5,5,6,3,PenaltySolver,1.07421875,11.71875,28.636153356638864,122,7.545241033192724,19.211523131467402,138240
0,6,5,6,3,PenaltySolver,1.07421875,5.2734375,30.281562487887374,98,7.34849837096408,16.248526664916426,110592
0,7,5,6,3,PenaltySolver,0,4.39453125,33.100230808818075,125,8.00347086135298,18.920089871622622,141312
0,8,5,6,3,PenaltySolver,1.7578125,4.6875,43.58745657300697,87,5.6984026376158,15.123050338122994,98304
0,9,5,6,3,PenaltySolver,4.58984375,10.83984375,42.4330444070731,112,8.285324304830283,18.214396288152784,126976
0,0,5,6,3,CyclicSolver,1.171875,22.65625,18.254543130650198,101,4.615862773731351,20.091403416357934,114688
0,1,5,6,3,CyclicSolver,10.3515625,34.1796875,24.28500599093461,115,3.8872584579512477,22.853592610917985,130048
0,2,5,6,3,CyclicSolver,3.02734375,38.671875,21.1920572798933,119,4.9261841853149235,22.666908470448107,134144
0,3,5,6,3,CyclicSolver,0.5859375,44.3359375,20.66068207545332,121,4.1385960704647005,23.590596136637032,137216
0,4,5,6,3,CyclicSolver,10.9375,33.30078125,15.007975254163343,104,4.358613931573927,21.111664929427207,117760
0,5,5,6,3,CyclicSolver,8.7890625,44.7265625,13.794921867739514,126,4.223241821397096,23.612285108771175,142336
0,6,5,6,3,CyclicSolver,0.9765625,24.609375,17.325390618069843,115,4.854843020904809,22.49765311088413,130048
0,7,5,6,3,CyclicSolver,18.359375,46.58203125,12.02814275021448,105,4.335926858708262,20.56560258800164,118784
0,8,5,6,3,CyclicSolver,28.02734375,61.62109375,9.6693793349059,139,4.477848822250962,24.0939007345587,156672
0,9,5,6,3,CyclicSolver,2.24609375,39.453125,20.697204576907996,137,4.608360842335969,23.99557363567874,154624
0,0,5,6,3,HeaSolver,5.859375,16.015625,27.392620572329296,201,15.271775292698294,32.4732428942807,226304
0,1,5,6,3,HeaSolver,1.5625,14.35546875,49.001652606537185,201,15.25935415737331,32.573159743566066,226304
0,2,5,6,3,HeaSolver,3.61328125,10.9375,35.45041230669421,201,16.148026572540402,32.20950955664739,226304
0,3,5,6,3,HeaSolver,3.90625,11.81640625,48.61929082798516,201,14.82666157046333,33.39311316376552,226304
0,4,5,6,3,HeaSolver,1.5625,14.2578125,26.27811685102995,201,15.283426651265472,33.02485677739605,226304
0,5,5,6,3,HeaSolver,2.5390625,13.37890625,34.40820310689042,201,14.84858335973695,33.034866648260504,226304
0,6,5,6,3,HeaSolver,1.7578125,15.0390625,25.300664052379734,201,15.364213419612497,32.63049733405933,226304
0,7,5,6,3,HeaSolver,0.87890625,11.9140625,28.83540481643845,201,15.272555578965694,32.110089560970664,226304
0,8,5,6,3,HeaSolver,2.05078125,9.375,34.478461352373074,201,16.31160058733076,32.21812479477376,226304
0,9,5,6,3,HeaSolver,1.5625,10.05859375,39.88348386179157,201,14.7085848483257,32.7588057089597,226304
0,0,1,6,3,ChocoSolver,100.0,100.0,0.0,29,0.10226580919697881,0.3075739056803286,32768
0,1,1,6,3,ChocoSolver,21.875,100.0,0.8617037252986894,29,0.08940919069573283,0.3096180548891425,32768
0,2,1,6,3,ChocoSolver,100.0,100.0,0.0,24,0.060906277038156986,0.257565351203084,27648
0,3,1,6,3,ChocoSolver,100.0,100.0,0.0,32,0.12284513842314482,0.3455406962893903,36864
0,4,1,6,3,ChocoSolver,0,100.0,0.04166666664930555,23,0.06682223593816161,0.24912009621039033,26624
0,5,1,6,3,ChocoSolver,100.0,100.0,0.0,26,0.06598349055275321,0.282167527358979,29696
0,6,1,6,3,ChocoSolver,0,100.0,0.039999999984,30,0.07435795199126005,0.3213347983546555,34816
0,7,1,6,3,ChocoSolver,1.66015625,100.0,0.22527521296578398,31,0.1456256485544145,0.3389721214771271,35840
0,8,1,6,3,ChocoSolver,22.65625,100.0,0.5917426211990319,31,0.09322841884568334,0.3267347109504044,35840
0,9,1,6,3,ChocoSolver,8.59375,100.0,0.19042968738098143,31,0.1595324627123773,0.34209416853263974,35840
