pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,2.44140625,5.2734375,33.85693357836048,110,7.430882091168314,20.58165334444493,124928
0,1,5,6,3,PenaltySolver,1.953125,21.97265625,44.43608936034879,94,5.330120114609599,18.797230781521648,106496
0,2,5,6,3,PenaltySolver,6.93359375,16.40625,36.013400587631445,112,9.185711684636772,19.604885552544147,126976
0,3,5,6,3,PenaltySolver,3.41796875,17.28515625,31.286254863258588,108,8.605866351164877,19.607520981226116,121856
0,4,5,6,3,PenaltySolver,0,21.875,11.528381344053631,115,6.566890037152916,21.649965940974653,130048
0,5,5,6,3,PenaltySolver,10.7421875,15.33203125,27.322607408213695,131,8.1544149229303,21.786176949273795,148480
0,6,5,6,3,PenaltySolver,14.2578125,19.3359375,18.327266803158402,100,8.234244934748858,18.52719422802329,113664
0,7,5,6,3,PenaltySolver,1.26953125,24.8046875,25.049711669619185,123,9.310802014544606,20.40018059546128,139264
0,8,5,6,3,PenaltySolver,7.2265625,21.09375,26.030825396290943,113,8.61335963383317,20.13287100708112,128000
0,9,5,6,3,PenaltySolver,0.1953125,7.71484375,23.06711988295495,102,8.055796553380787,18.57018835749477,115712
0,0,5,6,3,CyclicSolver,28.90625,51.171875,11.59650212541068,139,5.081224902998656,27.58936592238024,156672
0,1,5,6,3,CyclicSolver,11.1328125,61.328125,24.171440945365063,121,4.696884439792484,26.71141720144078,137216
0,2,5,6,3,CyclicSolver,59.66796875,70.3125,8.484971783480571,131,4.710114186163992,27.539472344797105,148480
0,3,5,6,3,CyclicSolver,3.80859375,17.87109375,26.10803221024498,112,4.311751291155815,25.519043130800128,126976
0,4,5,6,3,CyclicSolver,0.29296875,42.96875,8.90911864955965,126,4.776541667524725,27.124613925348967,142336
0,5,5,6,3,CyclicSolver,70.21484375,71.38671875,7.269335933865332,126,3.4328735694289207,27.80034790933132,142336
0,6,5,6,3,CyclicSolver,7.91015625,57.32421875,6.64021069874539,117,3.4620435745455325,26.48827251372859,132096
0,7,5,6,3,CyclicSolver,7.51953125,44.140625,14.969494040490716,109,3.9850711887702346,24.42593326419592,122880
0,8,5,6,3,CyclicSolver,0.1953125,51.3671875,10.099864126043537,136,4.34115412319079,28.09465384297073,153600
0,9,5,6,3,CyclicSolver,0.1953125,45.703125,12.359562795727092,111,4.465232912451029,24.352078082505614,125952
0,0,5,6,3,HeaSolver,5.76171875,17.96875,25.78178265873555,201,16.89405752485618,35.526046835351735,226304
0,1,5,6,3,HeaSolver,4.296875,17.67578125,65.2682290941464,201,16.318120534997433,35.89887754386291,226304
