pkid,method,layers,culled_depth,num_params
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
0,PenaltySolver,5,40,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
1,PenaltySolver,5,64,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
2,PenaltySolver,5,68,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
3,PenaltySolver,5,80,10
4,PenaltySolver,5,140,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,140,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,140,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,132,10
4,PenaltySolver,5,140,10
5,PenaltySolver,5,152,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,152,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,152,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,162,10
5,PenaltySolver,5,152,10
6,PenaltySolver,5,457,10
6,PenaltySolver,5,459,10
6,PenaltySolver,5,459,10
6,PenaltySolver,5,459,10
6,PenaltySolver,5,459,10
6,PenaltySolver,5,451,10
6,PenaltySolver,5,457,10
6,PenaltySolver,5,459,10
6,PenaltySolver,5,459,10
6,PenaltySolver,5,459,10
7,PenaltySolver,5,469,10
7,PenaltySolver,5,469,10
7,PenaltySolver,5,479,10
7,PenaltySolver,5,479,10
7,PenaltySolver,5,459,10
7,PenaltySolver,5,479,10
7,PenaltySolver,5,489,10
7,PenaltySolver,5,459,10
7,PenaltySolver,5,481,10
7,PenaltySolver,5,459,10
8,PenaltySolver,5,82,10
8,PenaltySolver,5,90,10
8,PenaltySolver,5,90,10
8,PenaltySolver,5,82,10
8,PenaltySolver,5,90,10
8,PenaltySolver,5,80,10
8,PenaltySolver,5,82,10
8,PenaltySolver,5,72,10
8,PenaltySolver,5,82,10
8,PenaltySolver,5,90,10
9,PenaltySolver,5,130,10
9,PenaltySolver,5,130,10
9,PenaltySolver,5,130,10
9,PenaltySolver,5,120,10
9,PenaltySolver,5,140,10
9,PenaltySolver,5,122,10
9,PenaltySolver,5,114,10
9,PenaltySolver,5,130,10
9,PenaltySolver,5,140,10
9,PenaltySolver,5,130,10
10,PenaltySolver,5,160,10
10,PenaltySolver,5,170,10
10,PenaltySolver,5,140,10
10,PenaltySolver,5,142,10
10,PenaltySolver,5,140,10
10,PenaltySolver,5,150,10
10,PenaltySolver,5,160,10
10,PenaltySolver,5,150,10
10,PenaltySolver,5,150,10
10,PenaltySolver,5,152,10
11,PenaltySolver,5,162,10
11,PenaltySolver,5,164,10
11,PenaltySolver,5,162,10
11,PenaltySolver,5,172,10
11,PenaltySolver,5,172,10
11,PenaltySolver,5,182,10
11,PenaltySolver,5,170,10
11,PenaltySolver,5,170,10
11,PenaltySolver,5,170,10
11,PenaltySolver,5,180,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
12,PenaltySolver,5,52,10
13,PenaltySolver,5,64,10
13,PenaltySolver,5,72,10
13,PenaltySolver,5,62,10
13,PenaltySolver,5,62,10
13,PenaltySolver,5,64,10
13,PenaltySolver,5,64,10
13,PenaltySolver,5,64,10
13,PenaltySolver,5,64,10
13,PenaltySolver,5,64,10
13,PenaltySolver,5,72,10
14,PenaltySolver,5,76,10
14,PenaltySolver,5,88,10
14,PenaltySolver,5,96,10
14,PenaltySolver,5,76,10
14,PenaltySolver,5,84,10
14,PenaltySolver,5,84,10
14,PenaltySolver,5,88,10
14,PenaltySolver,5,96,10
14,PenaltySolver,5,86,10
14,PenaltySolver,5,76,10
15,PenaltySolver,5,94,10
15,PenaltySolver,5,96,10
15,PenaltySolver,5,100,10
15,PenaltySolver,5,96,10
15,PenaltySolver,5,96,10
15,PenaltySolver,5,96,10
15,PenaltySolver,5,96,10
15,PenaltySolver,5,96,10
15,PenaltySolver,5,96,10
15,PenaltySolver,5,88,10
16,PenaltySolver,5,130,10
16,PenaltySolver,5,122,10
16,PenaltySolver,5,132,10
16,PenaltySolver,5,120,10
16,PenaltySolver,5,122,10
16,PenaltySolver,5,126,10
16,PenaltySolver,5,110,10
16,PenaltySolver,5,102,10
16,PenaltySolver,5,132,10
16,PenaltySolver,5,140,10
17,PenaltySolver,5,154,10
17,PenaltySolver,5,182,10
17,PenaltySolver,5,182,10
17,PenaltySolver,5,152,10
17,PenaltySolver,5,184,10
17,PenaltySolver,5,192,10
17,PenaltySolver,5,142,10
17,PenaltySolver,5,172,10
17,PenaltySolver,5,154,10
17,PenaltySolver,5,174,10
18,PenaltySolver,5,206,10
18,PenaltySolver,5,226,10
18,PenaltySolver,5,272,10
18,PenaltySolver,5,256,10
18,PenaltySolver,5,226,10
18,PenaltySolver,5,224,10
18,PenaltySolver,5,230,10
18,PenaltySolver,5,208,10
18,PenaltySolver,5,212,10
18,PenaltySolver,5,204,10
19,PenaltySolver,5,288,10
19,PenaltySolver,5,312,10
19,PenaltySolver,5,264,10
19,PenaltySolver,5,296,10
19,PenaltySolver,5,302,10
19,PenaltySolver,5,266,10
19,PenaltySolver,5,264,10
19,PenaltySolver,5,266,10
19,PenaltySolver,5,224,10
19,PenaltySolver,5,270,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
0,CyclicSolver,5,65,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
1,CyclicSolver,5,94,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
2,CyclicSolver,5,98,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
3,CyclicSolver,5,118,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
4,CyclicSolver,5,200,10
5,CyclicSolver,5,260,10
5,CyclicSolver,5,240,10
5,CyclicSolver,5,240,10
5,CyclicSolver,5,260,10
5,CyclicSolver,5,240,10
