pkid,pbid,layers,variables,constraints,method,best_solution_probs,in_constraints_probs,ARG,iteration_count,classcial,quantum,run_times
0,0,5,6,3,PenaltySolver,0.09765625,22.94921875,95.96158838173069,110,7.55910084489733,20.148834875319153,124928
0,1,5,6,3,PenaltySolver,3.61328125,10.25390625,49.70099427299909,115,7.962917698547244,20.244183498434722,130048
0,2,5,6,3,PenaltySolver,6.4453125,26.46484375,26.50716144360713,105,7.304618332069367,18.77922376198694,118784
0,3,5,6,3,PenaltySolver,6.15234375,17.28515625,110.90292946569414,119,8.049614862073213,20.422978477552533,134144
0,4,5,6,3,PenaltySolver,3.80859375,20.21484375,20.760898429195638,106,8.1870980351232,18.868343645706773,119808
0,5,5,6,3,PenaltySolver,3.515625,10.83984375,42.003487693211795,103,7.765801050234586,18.698984944727272,116736
0,6,5,6,3,PenaltySolver,7.8125,37.890625,40.37141923719048,110,6.912013464141637,20.97989110974595,124928
0,7,5,6,3,PenaltySolver,5.37109375,11.62109375,44.227111788764304,122,8.726190011482686,20.203397684264928,138240
0,8,5,6,3,PenaltySolver,7.91015625,30.2734375,59.93749992507812,122,8.113181999884546,20.801193722058088,138240
0,9,5,6,3,PenaltySolver,3.61328125,18.359375,59.92050775257949,104,7.605731797404587,18.93285960284993,117760
0,0,5,6,3,CyclicSolver,25.09765625,45.80078125,44.82063794613227,132,4.916179507039487,23.915322278626263,149504
0,1,5,6,3,CyclicSolver,8.69140625,42.48046875,26.84002128241816,94,3.5424444652162492,19.674153494648635,106496
0,2,5,6,3,CyclicSolver,11.81640625,27.9296875,22.026801203040666,108,4.525014490354806,22.63755986187607,121856
0,3,5,6,3,CyclicSolver,1.7578125,35.44921875,69.74707017300587,107,4.092277807649225,22.91718399664387,120832
0,4,5,6,3,CyclicSolver,0.48828125,32.91015625,15.482460931307015,111,4.504783061333001,22.9533489337191,125952
0,5,5,6,3,CyclicSolver,9.1796875,34.08203125,25.205705897174493,120,4.462339490186423,23.88478684844449,136192
0,6,5,6,3,CyclicSolver,0.9765625,20.41015625,32.16788734298509,105,4.400780422147363,22.43354017753154,118784
0,7,5,6,3,CyclicSolver,2.63671875,68.1640625,11.540710442005805,123,3.974857129622251,24.30593978613615,139264
0,8,5,6,3,CyclicSolver,0.5859375,42.28515625,37.22058100816177,104,4.188206780236214,22.487651442643255,117760
0,9,5,6,3,CyclicSolver,24.8046875,47.4609375,27.969042940780955,102,4.065684557892382,22.781791429035366,115712
0,0,5,6,3,HeaSolver,11.42578125,19.04296875,94.15950505140083,201,16.37695830920711,33.706809849943966,226304
0,1,5,6,3,HeaSolver,8.984375,15.91796875,53.13671870169389,201,15.40930474922061,34.5730672609061,226304
0,2,5,6,3,HeaSolver,0.09765625,18.5546875,31.42914494781714,201,15.269629849120975,34.58872398454696,226304
0,3,5,6,3,HeaSolver,0,35.25390625,104.18261697913476,201,15.1521283746697,34.49655790021643,226304
0,4,5,6,3,HeaSolver,0.5859375,19.82421875,23.763515615494594,201,15.728256821632385,33.91608295915648,226304
0,5,5,6,3,HeaSolver,0.09765625,21.09375,41.299525640143194,201,14.472951224539429,33.47639383375645,226304
0,6,5,6,3,HeaSolver,0.09765625,16.50390625,49.145751912170205,201,15.87996190879494,34.15826213732362,226304
0,7,5,6,3,HeaSolver,0.9765625,17.7734375,34.65435788849727,201,15.284547991119325,34.25326875364408,226304
0,8,5,6,3,HeaSolver,2.44140625,16.9921875,76.46789541222762,201,16.477291830815375,33.762871113140136,226304
0,9,5,6,3,HeaSolver,0.09765625,15.625,58.81728509743271,201,14.91885865200311,34.46121243108064,226304
0,0,1,6,3,ChocoSolver,99.70703125,100.0,0.006835937488606771,29,0.09389150328934193,0.28462095838040113,32768
0,1,1,6,3,ChocoSolver,100.0,100.0,0.0,28,0.08448569662868977,0.2788363234139979,31744
0,2,1,6,3,ChocoSolver,12.01171875,100.0,0.5683593746842448,26,0.1387679553590715,0.2649427894502878,29696
0,3,1,6,3,ChocoSolver,9.27734375,100.0,3.8185546798628907,28,0.0816022171638906,0.2781799999065697,31744
0,4,1,6,3,ChocoSolver,0,100.0,0.079999999968,21,0.0754886120557785,0.22187294904142618,24576
0,5,1,6,3,ChocoSolver,20.21484375,100.0,0.5753348210176179,27,0.08084674319252372,0.2715524807572365,30720
0,6,1,6,3,ChocoSolver,0.1953125,100.0,0.41731770798556855,29,0.10795029532164335,0.28212536266073585,32768
0,7,1,6,3,ChocoSolver,0,100.0,0.1874999998828125,21,0.07366969995200634,0.21566475182771683,24576
0,8,1,6,3,ChocoSolver,17.48046875,100.0,0.23522949189346312,28,0.0820640604943037,0.27983255963772535,31744
0,9,1,6,3,ChocoSolver,0,100.0,0.40175781209824213,27,0.092988311778754,0.28022087924182415,30720
